Original,Clean,Source
TUEN MUN TOWN LOT NO. 500,TMTL500,landsale.csv
TUEN MUN TOWN LOT NO. 508,TMTL508,landsale.csv
TUEN MUN TOWN LOT NO. 509,TMTL509,landsale.csv
TUEN MUN TOWN LOT NO. 512,TMTL512,landsale.csv
TUEN MUN TOWN LOT NO. 513,TMTL513,landsale.csv
TUEN MUN TOWN LOT NO. 515,TMTL515,landsale.csv
TUEN MUN TOWN LOT NO. 516,TMTL516,landsale.csv
TUEN MUN TOWN LOT NO. 520,TMTL520,landsale.csv
TUEN MUN TOWN LOT NO. 523,TMTL523,landsale.csv
TUEN MUN TOWN LOT NO. 539,TMTL539,landsale.csv
TUEN MUN TOWN LOT NO. 540,TMTL540,landsale.csv
TUEN MUN TOWN LOT NO. 541,TMTL541,landsale.csv
TUEN MUN TOWN LOT NO. 542,TMTL542,landsale.csv
TUEN MUN TOWN LOT NO. 543,TMTL543,landsale.csv
TUEN MUN TOWN LOT NO. 544,TMTL544,landsale.csv
TUEN MUN TOWN LOT NO. 547,TMTL547,landsale.csv
TUEN MUN TOWN LOT NO. 561,TMTL561,landsale.csv
TUEN MUN TOWN LOT NO. 569,TMTL569,landsale.csv
TUEN MUN YIP TOWN LOT NO. 514,TMTL514,landsale.csv
TUNG CHUNG TOWN LOT NO. 38,TCTL38,landsale.csv
TUNG CHUNG TOWN LOT NO. 45,TCTL45,landsale.csv
TUNG CHUNG TOWN LOT NO. 54,TCTL54,landsale.csv
TUNG CHUNG TOWN LOT NO. 55,TCTL55,landsale.csv
TWTL 301,TWTL301,landsale.csv
TWTL 302,TWTL302,landsale.csv
TWTL 306,TWTL306,landsale.csv
TWTL 324,TWTL324,landsale.csv
TWTL 328,TWTL328,landsale.csv
TWTL 344,TWTL344,landsale.csv
TWTL 353,TWTL353,landsale.csv
TWTL 376,TWTL376,landsale.csv
TWTL 377,TWTL377,landsale.csv
TWTL 393,TWTL393,ALS_Concat_Cleaned.csv
TWTL 395,TWTL395,ALS_Concat_Cleaned.csv & landsale.csv
TWTL 400,TWTL400,landsale.csv
TWTL 404,TWTL404,landsale.csv
TWTL 408,TWTL408,landsale.csv
TYTL 116,TYTL116,landsale.csv
TYTL 117,TYTL117,landsale.csv
TYTL 125,TYTL125,landsale.csv
TYTL 158,TYTL158,ALS_Concat_Cleaned.csv
TYTL 161,TYTL161,ALS_Concat_Cleaned.csv
TYTL 162,TYTL162,ALS_Concat_Cleaned.csv
TYTL 163,TYTL163,landsale.csv
TYTL 164,TYTL164,ALS_Concat_Cleaned.csv
TYTL 168,TYTL168,ALS_Concat_Cleaned.csv & landsale.csv
TYTL 169,TYTL169,ALS_Concat_Cleaned.csv & landsale.csv
TYTL 170,TYTL170,landsale.csv
TYTL 180,TYTL180,landsale.csv
TYTL 181,TYTL181,landsale.csv
TYTL 182,TYTL182,landsale.csv
TYTL 183,TYTL183,landsale.csv
TYTL 92,TYTL92,landsale.csv
YAU TONG INLAND LOT NO. 44,YTIL44,landsale.csv
YAU TONG LEI INLAND LOT NO. LEI 42,YTIL42,landsale.csv
YLTL 385,YLTL385,landsale.csv
YLTL 404,YLTL404,landsale.csv
YLTL 410,YLTL410,landsale.csv
YLTL 419,YLTL419,landsale.csv
YLTL 421,YLTL421,landsale.csv
YLTL 430,YLTL430,landsale.csv
YLTL 431,YLTL431,landsale.csv
YLTL 432,YLTL432,landsale.csv
YLTL 433,YLTL433,landsale.csv
YLTL 434,YLTL434,landsale.csv
YLTL 435,YLTL435,landsale.csv
YLTL 436,YLTL436,landsale.csv
YLTL 437,YLTL437,landsale.csv
YLTL 438,YLTL438,landsale.csv
YLTL 439,YLTL439,landsale.csv
YLTL 440,YLTL440,landsale.csv
YLTL 441,YLTL441,landsale.csv
YLTL 442,YLTL442,landsale.csv
YLTL 443,YLTL443,landsale.csv
YLTL 445,YLTL445,landsale.csv
YLTL 446,YLTL446,landsale.csv
YLTL 450,YLTL450,landsale.csv
YLTL 451,YLTL451,landsale.csv
YLTL 452,YLTL452,landsale.csv
YLTL 453,YLTL453,landsale.csv
YLTL 454,YLTL454,landsale.csv
YLTL 456,YLTL456,landsale.csv
YLTL 458,YLTL458,ALS_Concat_Cleaned.csv
YLTL 460,YLTL460,landsale.csv
YLTL 461,YLTL461,landsale.csv
YLTL 463,YLTL463,landsale.csv
YLTL 464,YLTL464,landsale.csv
YLTL 467,YLTL467,landsale.csv
YLTL 472,YLTL472,landsale.csv
YLTL 473,YLTL473,landsale.csv
YLTL 479,YLTL479,landsale.csv
YLTL 486,YLTL486,landsale.csv
YLTL 488,YLTL488,landsale.csv
YLTL 489,YLTL489,landsale.csv
YLTL 491,YLTL491,landsale.csv
YLTL 492,YLTL492,landsale.csv
YLTL 494,YLTL494,landsale.csv
YLTL 497,YLTL497,landsale.csv
YLTL 518,YLTL518,ALS_Concat_Cleaned.csv & landsale.csv
YLTL 523,YLTL523,landsale.csv
YLTL 528,YLTL528,ALS_Concat_Cleaned.csv
YUEN LONG TOWN LOT NO. 528,YLTL528,landsale.csv
YUEN LONG TOWN LOT NO. 532,YLTL532,landsale.csv
